,eigval1,eigval2,m_e,b_e,m_w,b_w,perp
2253,(6+4j),(6+3j),-1,6,0,0,True
2254,(6+4j),(6+5j),-1,6,0,1,True
2255,(6+4j),(6+6j),-1,6,0,5,True
2256,(6+5j),0j,2,0,3,4,True
2257,(6+5j),1j,3,1,2,4,True
2258,(6+5j),2j,4,2,5,6,True
2259,(6+5j),3j,5,3,4,6,True
2260,(6+5j),4j,6,4,1,5,True
2261,(6+5j),5j,0,5,-1,3.0,True
2262,(6+5j),6j,1,6,6,5,True
2263,(6+5j),(1+0j),1,6,6,6,True
2264,(6+5j),(1+1j),5,3,4,3,True
2265,(6+5j),(1+2j),2,0,3,0,True
2266,(6+5j),(1+3j),6,4,1,4,True
2267,(6+5j),(1+4j),3,1,2,1,True
2268,(6+5j),(1+5j),0,5,-1,0.0,True
2269,(6+5j),(1+6j),4,2,5,2,True
2270,(6+5j),(2+0j),3,1,2,5,True
2271,(6+5j),(2+1j),1,6,6,0,True
2272,(6+5j),(2+2j),6,4,1,3,True
2273,(6+5j),(2+3j),4,2,5,5,True
2274,(6+5j),(2+4j),2,0,3,3,True
2275,(6+5j),(2+5j),0,5,-1,4.0,True
2276,(6+5j),(2+6j),5,3,4,0,True
2277,(6+5j),(3+0j),4,2,5,1,True
2278,(6+5j),(3+1j),6,4,1,2,True
2279,(6+5j),(3+2j),1,6,6,1,True
2280,(6+5j),(3+3j),3,1,2,2,True
2281,(6+5j),(3+4j),5,3,4,4,True
2282,(6+5j),(3+5j),0,5,-1,1.0,True
2283,(6+5j),(3+6j),2,0,3,6,True
2284,(6+5j),(4+0j),6,4,1,1,True
2285,(6+5j),(4+1j),2,0,3,2,True
2286,(6+5j),(4+2j),5,3,4,1,True
2287,(6+5j),(4+3j),1,6,6,2,True
2288,(6+5j),(4+4j),4,2,5,4,True
2289,(6+5j),(4+5j),0,5,-1,5.0,True
2290,(6+5j),(4+6j),3,1,2,6,True
2291,(6+5j),(5+0j),5,3,4,5,True
2292,(6+5j),(5+1j),4,2,5,0,True
2293,(6+5j),(5+2j),3,1,2,3,True
2294,(6+5j),(5+3j),2,0,3,5,True
2295,(6+5j),(5+4j),1,6,6,3,True
2296,(6+5j),(5+5j),0,5,-1,2.0,True
2297,(6+5j),(5+6j),6,4,1,0,True
2298,(6+5j),(6+0j),-1,6,0,6,True
2299,(6+5j),(6+1j),-1,6,0,3,True
2300,(6+5j),(6+2j),-1,6,0,0,True
2301,(6+5j),(6+3j),-1,6,0,4,True
2302,(6+5j),(6+4j),-1,6,0,1,True
2303,(6+5j),(6+6j),-1,6,0,2,True
2304,(6+6j),0j,1,0,6,6,True
2305,(6+6j),1j,2,1,3,5,True
2306,(6+6j),2j,3,2,2,5,True
2307,(6+6j),3j,4,3,5,0,True
2308,(6+6j),4j,5,4,4,0,True
2309,(6+6j),5j,6,5,1,6,True
2310,(6+6j),6j,0,6,-1,3.0,True
2311,(6+6j),(1+0j),4,3,5,3,True
2312,(6+6j),(1+1j),1,0,6,0,True
2313,(6+6j),(1+2j),5,4,4,4,True
2314,(6+6j),(1+3j),2,1,3,1,True
2315,(6+6j),(1+4j),6,5,1,5,True
2316,(6+6j),(1+5j),3,2,2,2,True
2317,(6+6j),(1+6j),0,6,-1,0.0,True
2318,(6+6j),(2+0j),5,4,4,1,True
2319,(6+6j),(2+1j),3,2,2,6,True
2320,(6+6j),(2+2j),1,0,6,1,True
2321,(6+6j),(2+3j),6,5,1,4,True
2322,(6+6j),(2+4j),4,3,5,6,True
2323,(6+6j),(2+5j),2,1,3,4,True
2324,(6+6j),(2+6j),0,6,-1,4.0,True
2325,(6+6j),(3+0j),2,1,3,0,True
2326,(6+6j),(3+1j),4,3,5,2,True
2327,(6+6j),(3+2j),6,5,1,3,True
2328,(6+6j),(3+3j),1,0,6,2,True
2329,(6+6j),(3+4j),3,2,2,3,True
2330,(6+6j),(3+5j),5,4,4,5,True
2331,(6+6j),(3+6j),0,6,-1,1.0,True
2332,(6+6j),(4+0j),3,2,2,0,True
2333,(6+6j),(4+1j),6,5,1,2,True
2334,(6+6j),(4+2j),2,1,3,3,True
2335,(6+6j),(4+3j),5,4,4,2,True
2336,(6+6j),(4+4j),1,0,6,3,True
2337,(6+6j),(4+5j),4,3,5,5,True
2338,(6+6j),(4+6j),0,6,-1,5.0,True
2339,(6+6j),(5+0j),6,5,1,1,True
2340,(6+6j),(5+1j),5,4,4,6,True
2341,(6+6j),(5+2j),4,3,5,1,True
2342,(6+6j),(5+3j),3,2,2,4,True
2343,(6+6j),(5+4j),2,1,3,6,True
2344,(6+6j),(5+5j),1,0,6,4,True
2345,(6+6j),(5+6j),0,6,-1,2.0,True
2346,(6+6j),(6+0j),-1,6,0,3,True
2347,(6+6j),(6+1j),-1,6,0,0,True
2348,(6+6j),(6+2j),-1,6,0,4,True
2349,(6+6j),(6+3j),-1,6,0,1,True
2350,(6+6j),(6+4j),-1,6,0,5,True
2351,(6+6j),(6+5j),-1,6,0,2,True
